date,division,category,product_code,product,market,platform,channel,customer_code,customer_name,forecast_quantity
2025-05-01,P & A,Internal HDD,A0321150302,AQ Zion Saga,Netherlands,Brick & Mortar,Retailer,90014139,ElkjÃ¸p,3
2025-01-05,P & A,Processors,A1219150301,AQ 5000 Series Ultron 8 5900X Desktop Processor,USA,Brick & Mortar,Retailer,90022073,Control,23
2025-05-01,N & S,Wi fi extender,A7220160203,AQ Wi Power Dx2,Poland,Brick & Mortar,Retailer,90016174,Currys (Dixons Carphone),9 units
2025-05-01,PC,Personal Desktop,A6120110205,AQ HOME Allin1 Gen 2,France,Brick & Mortar,Retailer,90011186,Elite,1
2025-05-01,PC,Personal Laptop,A4218110207,AQ Digit,Canada,Brick & Mortar,Retailer,90023025,Premium Stores,10
2025-05-01,P & A,Keyboard,A3521150701,AQ Trigger,Germany,Brick & Mortar,Retailer,90012034,Otto,54
2025-05-01,N & S,Wi fi extender,A7220160203,AQ Wi Power Dx2,India,Brick & Mortar,Retailer,90002005,Lotus,149
2025-05-01,N & S,External Solid State Drives,A6620160501,AQ Clx3,Canada,Brick & Mortar,Retailer,90023022,Nomad Stores,346
2025-05-01,P & A,Keyboard,A3018150202,AQ Master wireless x1,China,E-Commerce,Retailer,90001021,Taobao,26
2025-01-05,P & A,Mouse,A2118150101,AQ Master wired x1 Ms,Austria,Brick & Mortar,Retailer,90020099,Integration Stores,6
2025-05-01,PC,Personal Laptop,A4520110504,AQ Gen X,USA,E-Commerce,Retailer,90022083,Ebay,5
2025-05-01,P & A,Keyboard,A3421150603,AQ Qwerty,Germany,Brick & Mortar,Retailer,90012039,Currys (Dixons Carphone),36
2025-05-01,P & A,Keyboard,A2918150105,AQ Master wired x1,China,Brick & Mortar,Distributor,80001019,Neptune,265
2025-05-01,P & A,Keyboard,A3220150403,AQ Lite,United Kingdom,Brick & Mortar,Retailer,90021093,Chip 7,71
2025-05-01,PC,Personal Laptop,A4721110704,AQ GEN Z,Brazil,E-Commerce,Retailer,90027207,Amazon,2
2025-05-01,P & A,Processors,A1320150402,AQ Electron 5 3600 Desktop Processor,USA,E-Commerce,Retailer,90022074,Flipkart,195
2025-05-01,P & A,Batteries,A4020150401,AQ Mx NB,Newzealand,Brick & Mortar,Retailer,ZZZ7615,Path,3
2025-01-05,P & A,Batteries,A3818150201,AQ LION x2,Canada,E-Commerce,Retailer,90023030,Amazon,21
2025-05-01,P & A,Graphic Card,A0721150402,AQ GT 21,Philiphines,E-Commerce,Direct,70006158,Atliq e Store,36
2025-05-01,P & A,Batteries,A3818150201,AQ LION x2,Italy,E-Commerce,Direct,70013126,Atliq e Store,9
2025-05-01,P & A,Processors,A1521150601,AQ Electron 3 3600 Desktop Processor,Sweden,Brick & Mortar,Retailer,90019201,Expert,4
2025-05-01,P & A,Processors,A1018150103,AQ 5000 Series Electron 9 5900X Desktop Processor,South Korea,Brick & Mortar,Direct,70007198,AltiQ Exclusive,80 units
2025-05-01,P & A,Keyboard,A2918150101,AQ Master wired x1,Japan,Brick & Mortar,Retailer,90004063,Electricalsbea Stores,31 units
2025-05-01,PC,Business Laptop,A5820110105,AQ BZ Allin1,Canada,Brick & Mortar,Retailer,90023026,Relief,11
2025-05-01,P & A,Mouse,A2420150406,AQ Lite Ms,Italy,Brick & Mortar,Retailer,90013119,Argos (Sainsbury's),23
2025-05-01,P & A,Graphic Card,A0821150503,AQ Marquee P3,Netherlands,Brick & Mortar,Retailer,90014137,Media Markt,3
2025-05-01,PC,Business Laptop,A5018110205,AQ BZ Compact,France,Brick & Mortar,Retailer,90011186,Elite,7
2025-05-01,P & A,Keyboard,A3421150605,AQ Qwerty,USA,Brick & Mortar,Retailer,90022075,BestBuy,101
2025-05-01,PC,Gaming Laptop,A5318110107,AQ Gamer 1,France,Brick & Mortar,Retailer,90011186,Elite,5
2025-05-01,PC,Personal Desktop,A6120110205,AQ HOME Allin1 Gen 2,India,Brick & Mortar,Retailer,90002014,Expression,2 units
2025-05-01,P & A,Batteries,A3718150103,AQ LION x1,Spain,Brick & Mortar,Retailer,90018111,Media Markt,14
2025-05-01,PC,Business Laptop,A5820110101,AQ BZ Allin1,Norway,Brick & Mortar,Direct,70015151,AltiQ Exclusive,3
2025-05-01,PC,Personal Laptop,A4318110301,AQ Velocity,Japan,Brick & Mortar,Retailer,90004061,Info Stores,1
2025-05-01,PC,Business Laptop,A5119110302,AQ BZ Gen Y,France,Brick & Mortar,Retailer,90011185,Epic Stores,6
2025-05-01,PC,Personal Laptop,A4419110407,AQ Elite,Poland,Brick & Mortar,Retailer,90016171,,40
2025-05-01,PC,Gaming Laptop,A5419110205,AQ Gamer 2,Spain,Brick & Mortar,Retailer,90018111,,2
2025-05-01,PC,Personal Desktop,A6119110201,AQ HOME Allin1 Gen 2,France,Brick & Mortar,Retailer,90011187,Chip 7,1
2025-05-01,P & A,Internal HDD,A0321150303,AQ Zion Saga,Canada,Brick & Mortar,Retailer,90023025,Premium Stores,73
2025-05-01,P & A,Mouse,A2319150305,AQ Gamers Ms,Pakistan,Brick & Mortar,Retailer,90005161,Zone,43
2025-05-01,P & A,Keyboard,A2918150103,AQ Master wired x1,Pakistan,E-Commerce,Retailer,90005162,Amazon,14 units
