date,division,category,product_code,product,market,platform,channel,customer_code,customer_name,sold_quantity
2025-05-01,PC,Business Laptop,A5018110204,AQ BZ Compact,India,Brick & Mortar,Retailer,90002007,,16
2025-05-01,N & S,Wi fi extender,A7220160203,AQ Wi Power Dx2,Bangladesh,E-Commerce,Retailer,ZZZ9282,Amazon,37
2025-05-01,PC,Business Laptop,A5821110108,AQ BZ Allin1,Australia,Brick & Mortar,Retailer,90008166,,9
2025-05-01,P & A,Keyboard,A3521150702,AQ Trigger,India,Brick & Mortar,Retailer,90002002,Croma,211
2025-05-01,PC,Business Laptop,A4918110104,AQ BZ 101,Pakistan,Brick & Mortar,Retailer,90005161,Zone,3
2025-05-01,PC,Gaming Laptop,A5620110402,AQ Smash 1,USA,E-Commerce,Retailer,90022083,Ebay,4
2025-05-01,PC,Personal Laptop,A4218110205,AQ Digit,Columbia,Brick & Mortar,Retailer,90025209,Electricalsbea Stores,1
2025-05-01,PC,Personal Laptop,A4721110705,AQ GEN Z,Austria,Brick & Mortar,Retailer,90020098,Electricalsquipo Stores,15 units
2025-05-01,PC,Personal Laptop,A4218110202,AQ Digit,India,Brick & Mortar,Retailer,90002005,Lotus,24
2025-05-01,P & A,MotherBoard,A2020150502,AQ MB Lito 2,Bangladesh,E-Commerce,Retailer,90010046,Amazon,255
2025-05-01,N & S,Wi fi extender,A7321160302,AQ Wi Power Dx3,Italy,E-Commerce,Direct,70013126,Atliq e Store,14
2025-05-01,PC,Personal Laptop,A4721110704,AQ GEN Z,Portugal,Brick & Mortar,Retailer,90017051,Forward Stores,1
2025-05-01,P & A,Mouse,A2420150406,AQ Lite Ms,Italy,Brick & Mortar,Retailer,90013123,Expert,69
2025-05-01,P & A,Keyboard,A3521150702,AQ Trigger,India,Brick & Mortar,Retailer,90002007,Girias,551
2025-05-01,P & A,Graphic Card,A0418150103,AQ Mforce Gen X,India,Brick & Mortar,Retailer,90002005,Lotus,40
2025-05-01,P & A,Keyboard,A3220150405,AQ Lite,Canada,E-Commerce,Retailer,90023023,Amazon,438
2025-05-01,P & A,Mouse,A2319150301,AQ Gamers Ms,Portugal,Brick & Mortar,Retailer,90017053,Info Stores,330 units
2025-05-01,N & S,Wi fi extender,A7119160103,AQ Wi Power Dx1,Canada,Brick & Mortar,Retailer,90023026,Relief,193
2025-05-01,P & A,Graphic Card,A0519150205,AQ Mforce Gen Y,Spain,Brick & Mortar,Retailer,90018109,Chiptec,14 units
2025-05-01,PC,Business Laptop,A5018110206,AQ BZ Compact,Italy,Brick & Mortar,Retailer,90013122,Radio Popular,2
